episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
0.0,-2000.0,-837.0263157894736,1000.0,2,1,46600,46600,False,19,11,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-37-35,1621543055,24.775572776794434,272.7522325515747,1325,MSI,192.168.1.14,272.7522325515747,0,11,90cc5_00000,"[-1500.0, -487.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.30131707133049074,0.7063131598340069,0.04256114277572321,1.4001646574800377,0.0,4733.996,895.649,20111.51,210.825,1.151,46600,46600,46600,21.105714285714285,66.13142857142857,0.0,0.56953125,0.0001,119.52694606781006,-0.07344742781424429,119.55446434020996,0.3812328,0.08064268110319972,0.8743907324969769,0.0
0.0,-2000.0,-743.1590909090909,1000.0,3,1,50600,50600,False,22,12,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-38-01,1621543081,26.413804531097412,299.1660370826721,1325,MSI,192.168.1.14,299.1660370826721,0,12,90cc5_00000,"[0.0, 0.0, -446.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.29582955959443935,0.7078806581129731,0.04254408179135859,1.4014949225987225,0.0,4885.01,851.585,19914.489,208.893,1.124,50600,50600,50600,21.426315789473687,65.91842105263157,0.0,0.8542968750000001,0.0001,172.00532984733582,-0.013202834379626438,172.00275492668152,0.523991,0.018473807635018602,0.7037422843277454,0.0
0.0,-2000.0,-753.86,1000.0,3,1,54800,54800,False,25,13,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-38-28,1621543108,26.317216157913208,325.4832532405853,1325,MSI,192.168.1.14,325.4832532405853,0,13,90cc5_00000,"[-997.0, -1000.0, -500.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2909077383916219,0.7091933872241762,0.04248040414670047,1.4024776480001082,0.0,5265.865,793.792,20024.393,208.745,1.131,54800,54800,54800,22.144736842105264,65.38157894736841,0.0,0.8542968750000001,0.0001,173.0690663655599,-0.0017521670934828844,173.06596466989228,-0.20814982,0.005681615830822425,0.4130746108112913,0.0
0.0,-2000.0,-772.0925925925926,1000.0,2,1,58800,58800,False,27,14,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-38-52,1621543132,24.056904315948486,349.5401575565338,1325,MSI,192.168.1.14,349.5401575565338,0,14,90cc5_00000,"[-1000.0, -1000.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.28796629570909105,0.7100782272277899,0.04244578982239277,1.403084188831785,0.0,4981.813,827.008,19826.081,207.807,1.155,58800,58800,58800,21.235294117647058,64.45588235294119,0.0,0.8542968750000001,0.0001,81.15153634548187,0.00021830765763297677,81.14080703258514,0.7476459,0.012305466188990977,0.6451106872409582,0.0
0.0,-2000.0,-744.5178571428571,1000.0,1,1,63200,63200,False,28,15,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-39-17,1621543157,24.60448431968689,374.1446418762207,1325,MSI,192.168.1.14,374.1446418762207,0,15,90cc5_00000,"[0.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2867324681284291,0.7105510119404848,0.042446836191615635,1.4035087561346278,0.0,5032.656,822.627,19957.073,207.445,1.142,63200,63200,63200,21.66857142857143,64.87142857142857,0.0,0.854296875,9.999999999999999e-05,20.240383447919573,-0.06466632048998561,20.244174984523227,0.9151755,0.07125737496784755,1.74719489301954,0.0
0.0,-2000.0,-705.6875,1000.0,4,1,67200,67200,False,32,16,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-39-44,1621543184,27.022432327270508,401.1670742034912,1325,MSI,192.168.1.14,401.1670742034912,0,16,90cc5_00000,"[-971.0, -500.0, 0.0, -264.5, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2815435889457399,0.7116314346445715,0.04233218972144872,1.403886553906263,0.0,5515.445,746.993,19933.261,206.69,1.142,67200,67200,67200,21.06923076923077,64.37435897435897,0.0,1.2814453125,0.0001,82.77907574176788,-0.0044698794081341475,82.75741183757782,0.69547683,0.020394056802615523,0.9958800598978996,0.0
0.0,-2000.0,-677.8970588235294,1000.0,2,1,72000,72000,False,34,17,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-40-13,1621543213,28.7456271648407,429.9127013683319,1325,MSI,192.168.1.14,429.9127013683319,0,17,90cc5_00000,"[0.0, -466.5, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0, 0.0, -971.0, -500.0, 0.0, -264.5]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2794404256982866,0.7120427161195901,0.04227884157222183,1.404001507440822,0.0,5745.13,731.054,20161.399,208.319,1.168,72000,72000,72000,22.404878048780485,65.04878048780488,0.0,1.9221679687500006,9.999999999999998e-05,20.2913428356773,-0.0005375571843040617,20.286051022379024,0.926676,0.003032746871835307,0.5212910041997307,0.0
0.0,-2000.0,-654.0694444444445,1000.0,2,1,76200,76200,False,36,18,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-40-38,1621543238,25.59082531929016,455.50352668762207,1325,MSI,192.168.1.14,455.50352668762207,0,18,90cc5_00000,"[0.0, -498.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0, 0.0, -971.0, -500.0, 0.0, -264.5, 0.0, -466.5]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2776253335074006,0.712422777544082,0.042232544527816655,1.404183394247454,0.0,5936.885,710.81,20050.383,210.47,1.164,76200,76200,76200,23.65135135135135,65.48378378378378,0.0,0.9610839843750001,0.0001,18.746379924542975,-0.005609589544209567,18.739790324008826,0.965927,0.012693060420905098,0.45027057510433777,0.0
0.0,-2000.0,-663.418918918919,1000.0,1,1,80200,80200,False,37,19,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-41-02,1621543262,23.598186254501343,479.1017129421234,1325,MSI,192.168.1.14,479.1017129421234,0,19,90cc5_00000,"[-1000.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0, 0.0, -971.0, -500.0, 0.0, -264.5, 0.0, -466.5, 0.0, -498.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.2769298608721114,0.7126986197606986,0.0422233297269834,1.4044255461450228,0.0,5885.045,713.673,19959.589,210.425,1.207,80200,80200,80200,23.651515151515152,65.90606060606059,0.0,0.9610839843750001,0.0001,58.20805299282074,-0.006633243203395978,58.20638418197632,0.21492021,0.008637615042971447,1.6841690428555012,0.0
0.0,-2000.0,-653.7682926829268,1000.0,4,1,84200,84200,False,41,20,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-41-30,1621543290,27.51943564414978,506.6211485862732,1325,MSI,192.168.1.14,506.6211485862732,0,20,90cc5_00000,"[-817.0, -498.5, -442.5, -500.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0, -997.0, -500.0, -471.5, -1500.0, -487.0, 0.0, 0.0, -446.0, -997.0, -1000.0, -500.0, -1000.0, -1000.0, 0.0, -971.0, -500.0, 0.0, -264.5, 0.0, -466.5, 0.0, -498.0, -1000.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.27388280984478985,0.7135065084388328,0.042129896354851926,1.405101204923663,0.0,6062.783,686.154,19777.499,210.34,1.184,84200,84200,84200,22.4925,65.07249999999999,0.0,0.9610839843750001,0.0001,97.10460877418518,0.005140358640346676,97.0868194103241,0.46836606,0.01316027157008648,1.349461529403925,0.0
